358^719	114.05884	30.60203	-5.96	111
358^731	114.05884	30.61283	-10.06	1429
358^746	114.05884	30.62633	-10.59	1418
358^773	114.05884	30.65063	-12.38	26
359^697	114.05988	30.58223	-5.10	1360
359^709	114.05988	30.59303	-7.52	46
359^721	114.05988	30.60383	-5.38	177
359^736	114.05988	30.61733	-6.83	13401
359^763	114.05988	30.64163	-10.92	103
359^778	114.05988	30.65513	-10.20	10
360^699	114.06092	30.58403	-4.84	1151
360^723	114.06092	30.60563	-6.18	217
360^738	114.06092	30.61913	-6.16	13337
360^750	114.06092	30.62993	-11.67	648
360^765	114.06092	30.64343	-13.59	43
361^689	114.06196	30.57503	-7.01	278
361^713	114.06196	30.59663	-4.55	104
361^728	114.06196	30.61013	-10.18	816
361^740	114.06196	30.62093	-6.21	13333
361^755	114.06196	30.63443	-11.76	235
361^782	114.06196	30.65873	-8.41	16
362^691	114.06300	30.57683	-5.07	325
362^703	114.06300	30.58763	-5.74	112
362^718	114.06300	30.60113	-6.10	211
362^730	114.06300	30.61193	-9.86	1391
362^745	114.06300	30.62543	-9.23	5050
362^772	114.06300	30.64973	-12.00	24
363^696	114.06404	30.58133	-5.04	1197
363^708	114.06404	30.59213	-4.83	179
363^720	114.06404	30.60293	-6.86	158
363^735	114.06404	30.61643	-6.60	13309
363^762	114.06404	30.64073	-6.25	224
363^777	114.06404	30.65423	-10.15	10
364^710	114.06508	30.59393	-5.51	168
364^725	114.06508	30.60743	-8.66	285
364^752	114.06508	30.63173	-11.32	366
364^767	114.06508	30.64523	-9.20	33
365^700	114.06612	30.58493	-5.71	286
365^715	114.06612	30.59843	-7.90	29
365^742	114.06612	30.62273	-7.58	10646
365^757	114.06612	30.63623	-11.72	119
365^784	114.06612	30.66053	-6.48	202
366^693	114.06716	30.57863	-6.22	199
366^705	114.06716	30.58943	-4.55	219
366^732	114.06716	30.61373	-9.65	3300
366^747	114.06716	30.62723	-8.76	1356
366^774	114.06716	30.65153	-10.40	5
367^698	114.06820	30.58313	-6.65	125
367^722	114.06820	30.60473	-9.19	89
367^737	114.06820	30.61823	-7.84	8636
367^764	114.06820	30.64253	-5.75	203
367^779	114.06820	30.65603	-8.68	14
368^712	114.06924	30.59573	-6.66	45
368^727	114.06924	30.60923	-8.38	462
368^754	114.06924	30.63353	-7.05	704
368^769	114.06924	30.64703	-10.08	32
368^781	114.06924	30.65783	-7.16	19
369^690	114.07028	30.57593	-8.02	50
369^702	114.07028	30.58673	-7.51	102
369^717	114.07028	30.60023	-5.66	129
369^744	114.07028	30.62453	-10.34	952
369^759	114.07028	30.63803	-8.59	210
369^771	114.07028	30.64883	-9.53	20
370^692	114.07132	30.57773	-7.61	55
370^704	114.07132	30.58853	-4.70	213
370^719	114.07132	30.60203	-4.82	150
370^731	114.07132	30.61283	-7.83	1550
370^746	114.07132	30.62633	-11.30	547
370^773	114.07132	30.65063	-8.71	19
371^697	114.07236	30.58223	-8.17	114
371^709	114.07236	30.59303	-6.87	75
371^721	114.07236	30.60383	-5.19	157
371^736	114.07236	30.61733	-9.81	1005
371^763	114.07236	30.64163	-5.56	157
371^778	114.07236	30.65513	-9.67	9
372^711	114.07340	30.59483	-6.33	41
372^726	114.07340	30.60833	-7.96	135
372^753	114.07340	30.63263	-10.19	43
372^768	114.07340	30.64613	-10.61	40
372^780	114.07340	30.65693	-8.08	13
373^701	114.07444	30.58583	-10.53	40
373^716	114.07444	30.59933	-7.78	20
373^743	114.07444	30.62363	-11.75	316
373^758	114.07444	30.63713	-5.82	609
373^770	114.07444	30.64793	-11.00	28
373^785	114.07444	30.66143	-6.38	111
374^694	114.07548	30.57953	-10.33	20
374^706	114.07548	30.59033	-5.51	115
374^733	114.07548	30.61463	-8.64	282
374^748	114.07548	30.62813	-11.48	67
374^760	114.07548	30.63893	-6.80	759
374^775	114.07548	30.65243	-8.72	27
375^699	114.07652	30.58403	-10.54	12
375^723	114.07652	30.60563	-7.59	105
375^738	114.07652	30.61913	-11.69	142
375^750	114.07652	30.62993	-11.33	30
375^765	114.07652	30.64343	-7.05	141
376^689	114.07756	30.57503	-11.56	17
376^713	114.07756	30.59663	-6.25	61
376^728	114.07756	30.61013	-7.09	892
376^740	114.07756	30.62093	-11.69	138
376^755	114.07756	30.63443	-11.64	22
376^782	114.07756	30.65873	-7.00	6
377^691	114.07860	30.57683	-11.32	19
377^703	114.07860	30.58763	-6.24	50
377^718	114.07860	30.60113	-4.80	145
377^730	114.07860	30.61193	-5.35	757
377^745	114.07860	30.62543	-10.95	55
377^772	114.07860	30.64973	-10.96	23
378^696	114.07964	30.58133	-10.90	10
378^708	114.07964	30.59213	-4.90	159
378^720	114.07964	30.60293	-5.77	86
378^735	114.07964	30.61643	-8.19	58
378^762	114.07964	30.64073	-6.59	946
378^777	114.07964	30.65423	-9.29	17
379^710	114.08068	30.59393	-5.55	135
379^725	114.08068	30.60743	-7.42	282
379^752	114.08068	30.63173	-12.67	12
379^767	114.08068	30.64523	-9.63	42
380^712	114.08172	30.59573	-5.89	84
380^727	114.08172	30.60923	-7.05	926
380^754	114.08172	30.63353	-11.79	7
380^769	114.08172	30.64703	-11.39	46
